image_filename,image_id,station,instrument,year,day_of_year,date_str,time_str,roi_name,discard,snow_presence,flags,flag_count,has_flags,not_needed,is_annotated,annotation_status,annotation_time_minutes,annotation_id,split,split_hash
lonnstorp_LON_AGR_PL01_PHE01_2024_001_20240101_090002.jpg,lonnstorp_LON_AGR_PL01_PHE01_2024_001_090002,lonnstorp,LON_AGR_PL01_PHE01,2024,1,20240101,090002,ROI_00,False,True,,0,False,False,True,completed,0.0,lonnstorp_LON_AGR_PL01_PHE01_2024_001_090002_ROI_00,test,a04bd886
lonnstorp_LON_AGR_PL01_PHE01_2024_001_20240101_093003.jpg,lonnstorp_LON_AGR_PL01_PHE01_2024_001_093003,lonnstorp,LON_AGR_PL01_PHE01,2024,1,20240101,093003,ROI_00,False,True,,0,False,False,True,completed,0.0,lonnstorp_LON_AGR_PL01_PHE01_2024_001_093003_ROI_00,test,a04bd886
lonnstorp_LON_AGR_PL01_PHE01_2024_001_20240101_100001.jpg,lonnstorp_LON_AGR_PL01_PHE01_2024_001_100001,lonnstorp,LON_AGR_PL01_PHE01,2024,1,20240101,100001,ROI_00,False,True,,0,False,False,True,completed,0.0,lonnstorp_LON_AGR_PL01_PHE01_2024_001_100001_ROI_00,test,a04bd886
lonnstorp_LON_AGR_PL01_PHE01_2024_001_20240101_103002.jpg,lonnstorp_LON_AGR_PL01_PHE01_2024_001_103002,lonnstorp,LON_AGR_PL01_PHE01,2024,1,20240101,103002,ROI_00,False,True,,0,False,False,True,completed,0.0,lonnstorp_LON_AGR_PL01_PHE01_2024_001_103002_ROI_00,test,a04bd886
lonnstorp_LON_AGR_PL01_PHE01_2024_001_20240101_110001.jpg,lonnstorp_LON_AGR_PL01_PHE01_2024_001_110001,lonnstorp,LON_AGR_PL01_PHE01,2024,1,20240101,110001,ROI_00,False,True,,0,False,False,True,completed,0.0,lonnstorp_LON_AGR_PL01_PHE01_2024_001_110001_ROI_00,test,a04bd886
lonnstorp_LON_AGR_PL01_PHE01_2024_001_20240101_113002.jpg,lonnstorp_LON_AGR_PL01_PHE01_2024_001_113002,lonnstorp,LON_AGR_PL01_PHE01,2024,1,20240101,113002,ROI_00,False,True,fog,1,True,False,True,completed,0.0,lonnstorp_LON_AGR_PL01_PHE01_2024_001_113002_ROI_00,test,a04bd886
lonnstorp_LON_AGR_PL01_PHE01_2024_001_20240101_113002.jpg,lonnstorp_LON_AGR_PL01_PHE01_2024_001_113002,lonnstorp,LON_AGR_PL01_PHE01,2024,1,20240101,113002,ROI_01,False,False,fog,1,True,False,True,completed,0.0,lonnstorp_LON_AGR_PL01_PHE01_2024_001_113002_ROI_01,test,a04bd886
lonnstorp_LON_AGR_PL01_PHE01_2024_001_20240101_120001.jpg,lonnstorp_LON_AGR_PL01_PHE01_2024_001_120001,lonnstorp,LON_AGR_PL01_PHE01,2024,1,20240101,120001,ROI_00,False,True,,0,False,False,True,completed,0.0,lonnstorp_LON_AGR_PL01_PHE01_2024_001_120001_ROI_00,test,a04bd886
lonnstorp_LON_AGR_PL01_PHE01_2024_001_20240101_123003.jpg,lonnstorp_LON_AGR_PL01_PHE01_2024_001_123003,lonnstorp,LON_AGR_PL01_PHE01,2024,1,20240101,123003,ROI_00,False,True,high_brightness,1,True,False,True,completed,0.0,lonnstorp_LON_AGR_PL01_PHE01_2024_001_123003_ROI_00,test,a04bd886
lonnstorp_LON_AGR_PL01_PHE01_2024_001_20240101_123003.jpg,lonnstorp_LON_AGR_PL01_PHE01_2024_001_123003,lonnstorp,LON_AGR_PL01_PHE01,2024,1,20240101,123003,ROI_01,False,False,high_brightness,1,True,False,True,completed,0.0,lonnstorp_LON_AGR_PL01_PHE01_2024_001_123003_ROI_01,test,a04bd886
